route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
71,23,10470,Centro - Linha Verde,1,,19582
71,23,10471,Ponta Laranjeira - Linha Verde,0,,19581
29,23,10472,Centro - D. Carlos I,1,,19782
49,23,10473,ZN Industrial,0,,20101
49,23,10474,Centro,1,,20102
75,23,10475,Centro,1,,12702
20,23,10476,Galeão - Escola,0,,9243
20,23,10477,Centro,1,,9244
75,23,10478,Álamos - V. Achada,0,,12701
75,23,10479,Centro,1,,12702
20,23,10480,Galeão - Escola,0,,9243
20,23,10481,Centro,1,,9244
75,23,10482,Álamos - V. Achada,0,,12701
75,23,10483,Centro,1,,12702
20,23,10484,Galeão - Escola,0,,9243
20,23,10485,Centro,1,,9244
75,23,10486,Álamos - V. Achada,0,,12701
75,23,10487,Centro,1,,12702
75,23,10488,Álamos - V. Achada,0,,12701
75,23,10489,Centro,1,,12702
75,23,10490,Álamos - V. Achada,0,,12701
75,23,10491,Centro,1,,12702
20,23,10492,Galeão - Escola,0,,9243
20,23,10493,Centro,1,,9244
20,23,10494,Galeão - Escola,0,,9243
20,23,10495,Centro,1,,9244
75,23,10496,Álamos - V. Achada,0,,12701
75,23,10497,Centro,1,,12702
20,23,10498,Galeão - Escola,0,,9243
20,23,10499,Centro,1,,9244
75,23,10500,Álamos - V. Achada,0,,12701
75,23,10501,Centro,1,,12702
8,23,10502,Travessa do Pomar,0,,8601
13,23,10503,Chamorra Barreira,0,,19941
13,23,10504,,1,,20322
25,23,10505,Monte Via Corujeira de Dentro,0,,19501
74,23,10506,Centro - Linha Verde,1,,19882
74,23,10507,ESCL S Martinho,0,,19881
74,23,10508,Centro - Linha Verde,1,,19882
74,23,10509,ESCL S Martinho,0,,19881
74,23,10510,Centro - Linha Verde,1,,19882
74,23,10511,ESCL S Martinho,0,,19881
74,23,10512,Centro - Linha Verde,1,,19882
33,12,10513,Centro,1,,19322
33,12,10514,Centro,1,,19322
33,12,10515,Centro,1,,19322
33,12,10516,Centro,1,,19322
33,12,10517,Centro,1,,19322
33,12,10518,Centro,1,,19322
33,12,10519,Centro,1,,19322
71,23,10520,Centro - Linha Verde,1,,19582
71,23,10521,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10522,Centro - Linha Verde,1,,19582
72,23,10523,Ponta da Cruz - Linha Verde,0,,20421
72,23,10524,Ponta da Cruz - Linha Verde,0,,20421
59,23,10525,,1,,19522
72,23,10526,Ponta da Cruz - Linha Verde,0,,20421
72,23,10527,Ponta da Cruz - Linha Verde,0,,20421
72,23,10528,Ponta da Cruz - Linha Verde,0,,20421
72,23,10529,Ponta da Cruz - Linha Verde,0,,20421
67,23,10530,Praça Autonomia,0,,17841
14,23,10531,Centro,1,,11724
42,23,10532,Canto do Muro,0,,20081
42,23,10533,Centro,1,,20082
9,23,10534,Centro,1,,19684
9,23,10535,STA Quitéria,0,,19683
72,11,10536,Ponta da Cruz - Linha Verde,0,,20421
9,23,10537,STA Quitéria,0,,19683
9,23,10538,Centro,1,,19684
9,23,10539,STA Quitéria,0,,19683
9,23,10540,Centro,1,,18522
73,23,10541,Lombada - Pizo,0,,19901
73,23,10542,Centro,1,,19902
59,11,10543,,1,,20046
38,12,10544,Jardim Botânico,0,,5781
38,12,10545,Centro,1,,5782
38,12,10546,Jardim Botânico,0,,5781
38,12,10547,Centro,1,,5782
38,12,10548,Jardim Botânico,0,,5781
33,13,10549,LEV STA Luzia,0,,19321
33,13,10550,LEV STA Luzia,0,,19321
33,13,10551,LEV STA Luzia,0,,19321
74,13,10552,ESCL S Martinho,0,,19881
74,13,10553,Centro - Linha Verde,1,,19882
74,13,10554,ESCL S Martinho,0,,19881
74,13,10555,Centro - Linha Verde,1,,19882
49,13,10556,ZN Industrial,0,,20101
49,13,10557,Centro,1,,20102
16,13,10558,Jamboto-Courelas Via Viveiros,0,,19741
16,13,10559,Centro,1,,19742
54,13,10560,Nazaré Via Virtudes,0,,17981
54,13,10561,Centro,1,,17982
16,13,10562,Jamboto-Courelas Via Viveiros,0,,19741
16,13,10563,Centro,1,,19384
25,13,10564,Monte Via Corujeira de Dentro,0,,19501
15,13,10565,Centro,1,,20182
12,21,10566,Chamorra,0,,17481
13,21,10567,Chamorra Barreira,0,,19951
12,21,10568,Centro,1,,17482
55,21,10569,Centro,1,,20062
27,21,10570,Monte Via LG Fonte Lajinhas,0,,19483
27,21,10571,Centro,1,,20122
16,21,10572,Jamboto-Courelas Via Viveiros,0,,19741
16,21,10573,Centro,1,,19742
9,21,10574,STA Quitéria,0,,19683
42,23,10575,Canto do Muro,0,,20081
42,23,10576,Centro,1,,20082
42,23,10577,Canto do Muro,0,,20081
42,23,10578,Centro,1,,20082
39,23,10579,Teleférico J. Botanico,0,,17221
39,23,10580,Centro,1,,17222
38,23,10581,Jardim Botânico,0,,5781
38,23,10582,Centro,1,,5782
9,21,10583,Centro,1,,19684
59,21,10584,Fundoa,0,,19523
21,23,10585,Centro,1,,19762
12,23,10586,Chamorra,0,,17481
12,23,10587,Chamorra,0,,17481
12,23,10588,Chamorra,0,,17481
9,23,10589,STA Quitéria,0,,19683
11,21,10590,Centro,1,,14022
11,21,10591,Courelas,0,,14021
11,21,10592,Centro,1,,14022
17,22,10593,Álamos,0,,18141
17,22,10594,Centro,1,,10864
14,22,10595,Trapiche,0,,13081
14,22,10596,Centro,1,,11722
25,22,10597,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,22,10598,Centro,1,,17042
12,22,10599,Chamorra,0,,17481
12,22,10600,Centro,1,,17488
25,22,10601,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,22,10602,Centro,1,,17042
25,22,10603,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,22,10604,Centro,1,,17042
12,22,10605,Chamorra,0,,17481
14,12,10606,Trapiche,0,,13081
14,12,10607,Centro,1,,11722
25,12,10608,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,12,10609,Centro,1,,17042
12,12,10610,Chamorra,0,,17481
12,12,10611,Centro,1,,17488
25,12,10612,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,12,10613,Centro,1,,17042
25,12,10614,Monte Via C Dentro Lombos e Lajinhas,0,,19503
25,12,10615,Centro,1,,17042
12,12,10616,Chamorra,0,,17481
9,12,10617,STA Quitéria,0,,19683
9,12,10618,Centro,1,,19684
14,12,10619,Trapiche,0,,13081
9,22,10620,STA Quitéria,0,,19683
9,22,10621,Centro,1,,19684
42,22,10622,Canto do Muro,0,,20081
42,22,10623,Centro,1,,20082
42,12,10624,Canto do Muro,0,,20081
42,12,10625,Centro,1,,20082
53,12,10626,Nazaré Via Virtudes,0,,17961
53,12,10627,Centro,1,,17962
59,12,10628,Universidade - Fundoa,0,,20045
53,22,10629,Nazaré Via Virtudes,0,,17961
53,22,10630,Centro,1,,17962
59,22,10631,Universidade - Fundoa,0,,20045
42,12,10632,Canto do Muro,0,,20081
42,12,10633,Centro,1,,20082
33,12,10634,LEV STA Luzia,0,,19321
33,12,10635,Centro,1,,19322
42,22,10636,Canto do Muro,0,,20081
42,22,10637,Centro,1,,20082
33,22,10638,LEV STA Luzia,0,,19321
33,22,10639,Centro,1,,19322
11,12,10640,Courelas,0,,14021
11,12,10641,Centro,1,,14022
16,12,10642,Jamboto-Courelas Via Viveiros,0,,19741
16,12,10643,Centro,1,,19742
11,22,10644,Courelas,0,,14021
11,22,10645,Centro,1,,14022
16,22,10646,Jamboto-Courelas Via Viveiros,0,,19741
16,22,10647,Centro,1,,19742
9,12,10648,STA Quitéria,0,,19683
9,12,10649,Centro,1,,19684
27,12,10650,Monte Via LG Fonte,0,,19461
27,12,10651,Centro,1,,19462
15,12,10652,Jamboto - S.Roque (Via Hospital),0,,20181
15,12,10653,Centro,1,,20182
76,12,10654,Papagaio Verde,0,,20161
76,12,10655,Centro - D. Carlos I,1,,20162
27,22,10656,Monte Via LG Fonte,0,,19461
27,22,10657,Centro,1,,19462
15,22,10658,Jamboto - S.Roque (Via Hospital),0,,20181
15,22,10659,Centro,1,,20182
76,22,10660,Papagaio Verde,0,,20161
76,22,10661,Centro - D. Carlos I,1,,20162
